kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ap-pcom-12,response,congregation,,,"Our Father who art in heaven, lead us, Lord, that we may not enter into temptation.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-1,prayer,deacon,,,We have received of the holy body and the precious blood of Christ.,,\N,\N,\N
block,,,,,,,,,,,,ap-thk-2,prayer,priest,,,"My mouth shall speak the praise of the Lord, and let all flesh bless His holy name for ever and ever.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-3,response,congregation,,,"Our Father who art in heaven, lead us, Lord, that we may not enter into temptation.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-4,prayer,deacon,,,And let us give thanks unto Him that makes us ready to communicate in the precious and holy mystery.,,\N,\N,\N
block,,,,,,,,,,,,ap-thk-5,prayer,priest,,,"My mouth shall speak the praise of the Lord, and let all flesh bless His holy name for ever and ever.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-6,response,congregation,,,"Our Father who art in heaven, lead us, Lord, that we may not enter into temptation.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-7r,rubric,\N,\N,\N,The priest shall sing in Izl:,\N,\N,\N,\N
block,,,,,,,,,,,,ap-thk-7,prayer,priest,,,"I will extol Thee, my King and my God, and I will bless Thy name for ever and ever.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-8,response,congregation,,,"Our Father who art in heaven, lead us, Lord, that we may not enter into temptation.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-9,prayer,priest,,,"Every day will I bless Thee, and I will praise Thy name for ever and ever.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-10,response,congregation,,,"Our Father who art in heaven, lead us, Lord, that we may not enter into temptation.",,\N,\N,\N
block,,,,,,,,,,,,ap-thk-11,prayer,priest,,,"My mouth shall speak the praise of the Lord, and let all flesh bless His holy name for ever and ever.",,\N,\N,\N
section,,,,,,,sjc-post-communion,Post-Communion,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-pcom-1,rubric,\N,,,After receiving the Holy Communion.,,\N,\N,\N
block,,,,,,,,,,,,sjc-pcom-2,prayer,priest,,,"Pilot of the Soul. Before the glory of Thy holiness Thy servants and handmaids have prostrated themselves in soul, body and spirit. Incline Thine ear unto their supplication.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pcom-3,prayer,priest,,,"Bless them who mind the heavenly things with the blessing of Thine angels and powers. Bless the work of their hands, and be with them in every good work.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pcom-4,prayer,priest,,,"Grant that by their having received of Thy holy mystery they may be prudent, watchful and freed from all evil, and may feed their souls, bodies and spirits, through our Lord Jesus Christ.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pcom-5,prayer,priest,,,"Through Whom to Thee with Him and with the Holy Spirit be glory, dominion, both now and ever, and unto the ages of ages.",,\N,\N,\N
block,,,,,,,,,,,,sjc-pcom-6,response,congregation,,,Amen.,,\N,\N,\N
section,,,,,,,sjc-dismissal,Dismissal,,,,,,,,,,,,,
block,,,,,,,,,,,,sjc-dis-1,heading,\N,,,The Laying on of the Hand,,\N,\N,\N
block,,,,,,,,,,,,sjc-dis-2,prayer,priest,,,"Good things have been done to you, good things have been done to you, good things have been done to you. O sheep of Christ's pasture, you have eaten and have been satisfied, you have drunk and have quenched your thirst. Return to your houses in peace; may the Lord be with all of you.",,\N,\N,\N
