kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,ep-pr-20,prayer,priest,,,"Out of terror, the gates of death will be opened to Him, and the gatekeepers of hell will be afraid as soon as they see Him. He knows the spaciousness under heaven and that which happens above heaven.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-21,prayer,priest,,,Through His commandment frost comes out of its treasure and the wind blows under heaven. He leads the rain along the way of the wilderness to fall on the country where there is no man and wherein mortal man does not live.,,\N,\N,\N
block,,,,,,,,,,,,ep-pr-22,prayer,priest,,,He established the course of water and opens the winter every year and brings the summer back in its due time. He calls the clouds with His word and water answers Him trembling.,,\N,\N,\N
block,,,,,,,,,,,,ep-pr-23,prayer,priest,,,"He sends the thunderbolt and it goes and answers Him saying ""What shall I do?"" He counts the clouds through His wisdom and suspends the heaven over the earth.",,\N,\N,\N
block,,,,,,,,,,,,ep-pr-24,prayer,priest,,,He alone puts on the power of the highest heaven and is adorned with glory and honour.,,\N,\N,\N
section,,,,,,,saint-epiphanius-sanctus,Sanctus,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-san-1,prayer,priest,,,"Him hallow the fiery cherubim and the seraphim dressed in light with ceaseless words and a mouth which does not keep silent and a tongue which does not tire; and all say together with one voice answering: Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
block,,,,,,,,,,,,ep-san-2,prayer,deacon,,,Answer ye.,,\N,\N,\N
block,,,,,,,,,,,,ep-san-3,response,congregation,,,"Holy, holy, holy, perfect Lord of hosts, heaven and earth are full of the holiness of Thy glory.",,\N,\N,\N
block,,,,,,,,,,,,ep-san-4,prayer,priest,,,"Holy, holy, holy art Thou God, Lord of the holy ones, the holiness of Thy glory fills heaven and earth.",,\N,\N,\N
section,,,,,,,saint-epiphanius-post-sanctus,Post-Sanctus,,,,,,,,,,,,,
block,,,,,,,,,,,,ep-ps-1,prayer,priest,,,"All is from Him, all is for His sake, and all is His. Heaven is His, and the heaven of heavens is His. The breadth of the highest heaven is the throne of His glory, and the wide earth is His footstool.",,\N,\N,\N
