kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
anaphora,saint-john-thunder,\N,St. John Son of Thunder,ቅዱስ ዮሐንስ ወልደ ነጐድጓድ,ቅዱስ ዮሐንስ ወልደ ነጐድጓድ,\N,,,,,,,,,,,,,,,
section,,,,,,,saint-john-thunder-placeholder,Coming Soon,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,saint-john-thunder-placeholder-1,rubric,\N,\N,\N,[Placeholder — contribute the full text via a Pull Request on GitHub],\N,\N,\N,\N
